epoch,train_reward,test_reward,train_pnl,test_pnl,epsilon,loss_ema,lr,epoch_seconds
1,-7802.532293310541,-3781.0455220540334,11.901973730487953,15.263468424479166,0.3612499999999999,0.263515166716942,5e-05,27.5541033744812
2,-6920.37393732911,-13071.93648274734,-3.069207324215313,35.697296142606625,0.2449999999999999,0.1995546918765909,5e-05,63.182751417160034
3,-8712.49508203125,-562.9107920328764,14.730064941417368,3.305257161458333,0.15125,0.1871530914096785,5e-05,61.685723304748535
4,-5513.833886621095,-3434.373653434248,-2.506943701167984,4.389362744141788,0.08,0.1537581372748786,5e-05,61.46241354942322
5,-3295.270606787109,-8501.014785766578,12.62090288086256,12.259713412478,0.03125,0.1514960041325724,5e-05,60.017940282821655
6,-6075.141271044906,-232.37399800618536,30.882035937502224,2.456431070963541,0.01,0.1764191416985772,5e-05,62.76932191848755
7,-1908.59579365234,-1469.655598958332,3.3928839843811147,-1.1270243326822915,0.01,0.1606813791777709,5e-05,60.19439339637756
8,-1703.7179324951217,-263.0539550781244,0.6568051757840294,2.3424072265625,0.0199999999999999,0.1435021803057266,5e-05,61.94171380996704
9,-1398.9228707031236,-300.39710110676964,3.1867039550797926,-0.1483061197911107,0.06125,0.1435849894810634,5e-05,64.14923739433289
10,-1618.189650463864,-233.1041878743487,-10.195250781243884,0.6056953613284956,0.125,0.1294420464606269,4.5e-05,64.01151013374329
