epoch,train_reward,test_reward,train_pnl,test_pnl,epsilon,loss_ema,epoch_seconds
1,-18125.74527807007,0.0,11.002705175786105,0.0,0.92875,23.38752337653866,50.762229791027494
2,-17237.746287670896,-6321.001094818114,2.5017434631392916,57.99894332885742,0.8575,22.915773710601904,68.98439041705569
3,-19227.246287194826,0.0,13.501975341800971,0.0,0.78625,22.94530604084832,69.67492879199563
4,-16506.996344418334,0.0,22.002223431400353,0.0,0.7150000000000001,24.386680508484304,71.17075708298944
5,-18146.247271798708,-17844.001476287845,70.50120449829456,-4.50146484375,0.64375,22.89525745301819,77.34037429199088
